n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,1,20,4000,"{3,4,5,10,10,16,16,20,20}",35,35,17.734514,0,8.585858586,15,32,0,8.571428571,8.571428571,,,
9,3,1,20,4000,"{1,3,3,5,16,18,19,19,19}",37,37,9.816227436,0,0,12,37,0,0,0,,,
9,3,1,20,4000,"{1,2,7,8,9,11,13,16,17}",31,28,19.03149509,1.435406699,19.85645933,15,24,9.677419355,14.28571429,22.58064516,,,
9,3,1,20,4000,"{3,6,8,9,10,11,15,17,20}",34,34,19.09285593,3.015075377,17.08542714,17,26,0,23.52941176,23.52941176,,,
9,3,1,20,4000,"{2,3,5,8,8,10,11,11,17}",26,26,29.77381229,0,6.172839506,13,21,0,19.23076923,19.23076923,,,
9,3,1,20,4000,"{1,4,4,8,13,16,17,19,20}",36,35,18.30435038,0.831024931,20.22160665,12,33,2.777777778,5.714285714,8.333333333,,,
9,3,1,20,4000,"{1,2,5,5,7,10,18,19,20}",30,29,18.643888,0.869565217,10,10,28,3.333333333,3.448275862,6.666666667,,,
9,3,1,20,4000,"{3,3,9,9,10,14,15,16,16}",34,33,21.38482404,0,6.944444444,18,29,2.941176471,12.12121212,14.70588235,,,
9,3,1,20,4000,"{1,5,7,8,8,13,14,16,18}",31,30,17.98030043,0,15.91591592,15,27,3.225806452,10,12.90322581,,,
9,3,1,20,4000,"{1,1,2,6,8,11,12,14,20}",26,26,19.29356217,0.970873786,11.65048544,9,23,0,11.53846154,11.53846154,,,
9,3,1,20,4000,"{1,2,5,7,7,8,10,13,13}",23,22,21.14200091,0,6.493506494,12,18,4.347826087,18.18181818,21.73913043,,,
9,3,1,20,4000,"{6,7,10,13,13,13,13,13,14}",36,36,21.24776602,0,5.617977528,23,26,0,27.77777778,27.77777778,,,
9,3,1,20,4000,"{2,3,4,7,7,10,14,15,18}",27,27,17.5290916,0,11.79039301,11,24,0,11.11111111,11.11111111,,,
9,3,1,20,4000,"{3,5,9,10,12,12,13,16,19}",34,34,19.43014073,0.389105058,8.949416342,19,25,0,26.47058824,26.47058824,,,
